algorithm,traffic,rate,seed,latency
min_adapt,transpose,0.05,42,36.9821
min_adapt,transpose,0.05,43,36.9228
min_adapt,transpose,0.05,44,36.8455
min_adapt,transpose,0.1,42,499.447
min_adapt,transpose,0.1,43,499.778
min_adapt,transpose,0.1,44,501.359
min_adapt,transpose,0.2,42,475.829
min_adapt,transpose,0.2,43,478.053
min_adapt,transpose,0.2,44,488.586
min_adapt,transpose,0.3,42,453.635
min_adapt,transpose,0.3,43,454.21
min_adapt,transpose,0.3,44,453.744
min_adapt,transpose,0.5,42,735.103
min_adapt,transpose,0.5,43,740.372
min_adapt,transpose,0.5,44,745.04
min_adapt,hotspot,0.01,42,67.2218
min_adapt,hotspot,0.01,43,77.0858
min_adapt,hotspot,0.01,44,61.4389
min_adapt,hotspot,0.05,42,336.249
min_adapt,hotspot,0.05,43,326.746
min_adapt,hotspot,0.05,44,344.644
min_adapt,hotspot,0.1,42,284.275
min_adapt,hotspot,0.1,43,273.308
min_adapt,hotspot,0.1,44,276.233
min_adapt,hotspot,0.2,42,364.722
min_adapt,hotspot,0.2,43,364.187
min_adapt,hotspot,0.2,44,366.97
min_adapt,hotspot,0.3,42,416.638
min_adapt,hotspot,0.3,43,411.359
min_adapt,hotspot,0.3,44,409.28
min_adapt,hotspot,0.5,42,444.786
min_adapt,hotspot,0.5,43,445.166
min_adapt,hotspot,0.5,44,450.755
gnn_weighted_route_8x8,uniform,0.01,42,33.1746
gnn_weighted_route_8x8,uniform,0.01,43,33.2737
gnn_weighted_route_8x8,uniform,0.01,44,33.2163
gnn_weighted_route_8x8,uniform,0.05,42,34.6233
gnn_weighted_route_8x8,uniform,0.05,43,34.5872
gnn_weighted_route_8x8,uniform,0.05,44,34.8239
gnn_weighted_route_8x8,uniform,0.1,42,357.464
gnn_weighted_route_8x8,uniform,0.1,43,244.861
gnn_weighted_route_8x8,uniform,0.1,44,455.362
gnn_weighted_route_8x8,uniform,0.2,42,635.678
gnn_weighted_route_8x8,uniform,0.2,43,587.991
gnn_weighted_route_8x8,uniform,0.2,44,717.974
gnn_weighted_route_8x8,uniform,0.3,42,1106.45
gnn_weighted_route_8x8,uniform,0.3,43,1124.76
gnn_weighted_route_8x8,uniform,0.3,44,1109.53
gnn_weighted_route_8x8,uniform,0.5,42,658.957
gnn_weighted_route_8x8,uniform,0.5,43,679.507
gnn_weighted_route_8x8,uniform,0.5,44,666.421
gnn_weighted_route_8x8,transpose,0.01,42,33.2357
gnn_weighted_route_8x8,transpose,0.01,43,34.1453
gnn_weighted_route_8x8,transpose,0.01,44,33.4352
gnn_weighted_route_8x8,transpose,0.05,42,231.837
gnn_weighted_route_8x8,transpose,0.05,43,456.593
gnn_weighted_route_8x8,transpose,0.05,44,424.253
gnn_weighted_route_8x8,transpose,0.1,42,422.366
gnn_weighted_route_8x8,transpose,0.1,43,466.265
gnn_weighted_route_8x8,transpose,0.1,44,436.734
gnn_weighted_route_8x8,transpose,0.2,42,514.489
gnn_weighted_route_8x8,transpose,0.2,43,469.904
gnn_weighted_route_8x8,transpose,0.2,44,510.417
gnn_weighted_route_8x8,transpose,0.3,42,743.903
gnn_weighted_route_8x8,transpose,0.3,43,698.889
gnn_weighted_route_8x8,transpose,0.3,44,723.791
gnn_weighted_route_8x8,transpose,0.5,42,807.583
gnn_weighted_route_8x8,transpose,0.5,43,781.343
gnn_weighted_route_8x8,transpose,0.5,44,792.246
gnn_weighted_route_8x8,hotspot,0.01,42,325.901
gnn_weighted_route_8x8,hotspot,0.01,43,189.72
gnn_weighted_route_8x8,hotspot,0.01,44,365.093
gnn_weighted_route_8x8,hotspot,0.05,42,337.661
gnn_weighted_route_8x8,hotspot,0.05,43,347.758
gnn_weighted_route_8x8,hotspot,0.05,44,343.189
gnn_weighted_route_8x8,hotspot,0.1,42,254.046
gnn_weighted_route_8x8,hotspot,0.1,43,246.845
gnn_weighted_route_8x8,hotspot,0.1,44,262.263
gnn_weighted_route_8x8,hotspot,0.2,42,318.428
gnn_weighted_route_8x8,hotspot,0.2,43,301.161
gnn_weighted_route_8x8,hotspot,0.2,44,323.252
gnn_weighted_route_8x8,hotspot,0.3,42,372.986
gnn_weighted_route_8x8,hotspot,0.3,43,361.038
gnn_weighted_route_8x8,hotspot,0.3,44,375.52
gnn_weighted_route_8x8,hotspot,0.5,42,427.91
gnn_weighted_route_8x8,hotspot,0.5,43,432.293
gnn_weighted_route_8x8,hotspot,0.5,44,432.272
