topology,algorithm,traffic,inj_rate,mean_latency,std_latency,ci95
mesh88,min_adapt,hotspot,0.35,836.20,3.28,2.88
mesh88,min_adapt,hotspot,0.4,855.23,3.68,3.23
mesh88,min_adapt,hotspot,0.45,873.34,1.18,1.03
mesh88,min_adapt,uniform,0.01,33.98,0.20,0.18
mesh88,min_adapt,uniform,0.05,37.34,0.39,0.34
mesh88,min_adapt,uniform,0.1,43.32,0.32,0.28
mesh88,min_adapt,uniform,0.2,172.09,4.12,3.61
mesh88,min_adapt,uniform,0.3,316.88,1.84,1.61
mesh88,min_adapt,uniform,0.35,385.91,6.56,5.75
mesh88,min_adapt,uniform,0.4,461.29,5.11,4.48
mesh88,min_adapt,uniform,0.45,526.51,5.12,4.48
