timestamp,topology,algorithm,traffic,inj_rate,seed,avg_latency,min_latency,max_latency,status
20260514-222023,mesh44,dor,hotspot,0.4,42,799.298,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.4,123,806.035,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.4,456,809.789,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.4,789,801.228,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.4,999,800.502,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.45,42,821.332,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.45,123,824.907,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.45,456,828.608,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.45,789,823.216,NA,NA,OK
20260514-222024,mesh44,dor,hotspot,0.45,999,815.318,NA,NA,OK
20260514-222024,mesh44,adaptive_xy_yx,uniform,0.01,42,19.7063,NA,NA,OK
20260514-222024,mesh44,adaptive_xy_yx,uniform,0.01,123,19.6067,NA,NA,OK
20260514-222024,mesh44,adaptive_xy_yx,uniform,0.01,456,19.8839,NA,NA,OK
20260514-222024,mesh44,adaptive_xy_yx,uniform,0.01,789,19.912,NA,NA,OK
20260514-222024,mesh44,adaptive_xy_yx,uniform,0.01,999,19.0644,NA,NA,OK
20260514-222024,mesh44,adaptive_xy_yx,uniform,0.05,42,19.3756,NA,NA,OK
20260514-222024,mesh44,adaptive_xy_yx,uniform,0.05,123,19.5026,NA,NA,OK
20260514-222025,mesh44,adaptive_xy_yx,uniform,0.05,456,19.8422,NA,NA,OK
20260514-222025,mesh44,adaptive_xy_yx,uniform,0.05,789,19.502,NA,NA,OK
20260514-222025,mesh44,adaptive_xy_yx,uniform,0.05,999,19.6782,NA,NA,OK
20260514-222025,mesh44,adaptive_xy_yx,uniform,0.1,42,19.8256,NA,NA,OK
20260514-222025,mesh44,adaptive_xy_yx,uniform,0.1,123,19.5756,NA,NA,OK
20260514-222026,mesh44,adaptive_xy_yx,uniform,0.1,456,19.928,NA,NA,OK
20260514-222026,mesh44,adaptive_xy_yx,uniform,0.1,789,19.8768,NA,NA,OK
20260514-222026,mesh44,adaptive_xy_yx,uniform,0.1,999,19.7643,NA,NA,OK
20260514-222027,mesh44,adaptive_xy_yx,uniform,0.2,42,20.8159,NA,NA,OK
20260514-222027,mesh44,adaptive_xy_yx,uniform,0.2,123,20.8015,NA,NA,OK
20260514-222028,mesh44,adaptive_xy_yx,uniform,0.2,456,20.8381,NA,NA,OK
20260514-222028,mesh44,adaptive_xy_yx,uniform,0.2,789,20.8381,NA,NA,OK
20260514-222028,mesh44,adaptive_xy_yx,uniform,0.2,999,20.7601,NA,NA,OK
20260514-222029,mesh44,adaptive_xy_yx,uniform,0.3,42,25.2849,NA,NA,OK
20260514-222030,mesh44,adaptive_xy_yx,uniform,0.3,123,25.03,NA,NA,OK
20260514-222030,mesh44,adaptive_xy_yx,uniform,0.3,456,25.6717,NA,NA,OK
20260514-222031,mesh44,adaptive_xy_yx,uniform,0.3,789,24.9245,NA,NA,OK
20260514-222032,mesh44,adaptive_xy_yx,uniform,0.3,999,23.6453,NA,NA,OK
20260514-222032,mesh44,adaptive_xy_yx,uniform,0.35,42,56.537,NA,NA,OK
20260514-222033,mesh44,adaptive_xy_yx,uniform,0.35,123,59.3019,NA,NA,OK
20260514-222034,mesh44,adaptive_xy_yx,uniform,0.35,456,50.6763,NA,NA,OK
20260514-222035,mesh44,adaptive_xy_yx,uniform,0.35,789,64.2062,NA,NA,OK
20260514-222036,mesh44,adaptive_xy_yx,uniform,0.35,999,50.4447,NA,NA,OK
20260514-222037,mesh44,adaptive_xy_yx,uniform,0.4,42,157.866,NA,NA,OK
20260514-222038,mesh44,adaptive_xy_yx,uniform,0.4,123,152.571,NA,NA,OK
20260514-222038,mesh44,adaptive_xy_yx,uniform,0.4,456,151.859,NA,NA,OK
20260514-222038,mesh44,adaptive_xy_yx,uniform,0.4,789,156.986,NA,NA,OK
20260514-222039,mesh44,adaptive_xy_yx,uniform,0.4,999,150.637,NA,NA,OK
20260514-222039,mesh44,adaptive_xy_yx,uniform,0.45,42,242.377,NA,NA,OK
20260514-222039,mesh44,adaptive_xy_yx,uniform,0.45,123,252.521,NA,NA,OK
20260514-222039,mesh44,adaptive_xy_yx,uniform,0.45,456,249.094,NA,NA,OK
20260514-222040,mesh44,adaptive_xy_yx,uniform,0.45,789,241.715,NA,NA,OK
20260514-222040,mesh44,adaptive_xy_yx,uniform,0.45,999,233.112,NA,NA,OK
20260514-222040,mesh44,adaptive_xy_yx,hotspot,0.01,42,18.4092,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.01,123,19.9812,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.01,456,20.2251,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.01,789,19.8185,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.01,999,19.7393,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.05,42,115.132,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.05,123,109.639,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.05,456,125.92,NA,NA,OK
20260514-222041,mesh44,adaptive_xy_yx,hotspot,0.05,789,103.689,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.05,999,106.62,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.1,42,276.953,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.1,123,274.153,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.1,456,274.172,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.1,789,239.196,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.1,999,261.454,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.2,42,478.889,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.2,123,488.698,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.2,456,484.087,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.2,789,463.388,NA,NA,OK
20260514-222042,mesh44,adaptive_xy_yx,hotspot,0.2,999,474.049,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.3,42,674.619,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.3,123,650.815,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.3,456,638.94,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.3,789,658.78,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.3,999,631.569,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.35,42,701.708,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.35,123,693.133,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.35,456,690.754,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.35,789,699.257,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.35,999,663.712,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.4,42,734.43,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.4,123,736.891,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.4,456,729.799,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.4,789,730.881,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.4,999,710.835,NA,NA,OK
20260514-222043,mesh44,adaptive_xy_yx,hotspot,0.45,42,764.929,NA,NA,OK
20260514-222044,mesh44,adaptive_xy_yx,hotspot,0.45,123,761.01,NA,NA,OK
20260514-222044,mesh44,adaptive_xy_yx,hotspot,0.45,456,768.339,NA,NA,OK
20260514-222044,mesh44,adaptive_xy_yx,hotspot,0.45,789,760.8,NA,NA,OK
20260514-222044,mesh44,adaptive_xy_yx,hotspot,0.45,999,757.814,NA,NA,OK
20260514-222044,mesh44,min_adapt,uniform,0.01,42,19.6865,NA,NA,OK
20260514-222044,mesh44,min_adapt,uniform,0.01,123,20.2218,NA,NA,OK
20260514-222044,mesh44,min_adapt,uniform,0.01,456,19.7735,NA,NA,OK
20260514-222044,mesh44,min_adapt,uniform,0.01,789,19.5177,NA,NA,OK
20260514-222044,mesh44,min_adapt,uniform,0.01,999,20.4908,NA,NA,OK
20260514-222044,mesh44,min_adapt,uniform,0.05,42,20.387,NA,NA,OK
20260514-222045,mesh44,min_adapt,uniform,0.05,123,19.7965,NA,NA,OK
20260514-222045,mesh44,min_adapt,uniform,0.05,456,20.1608,NA,NA,OK
20260514-222045,mesh44,min_adapt,uniform,0.05,789,20.2779,NA,NA,OK
20260514-222045,mesh44,min_adapt,uniform,0.05,999,20.4862,NA,NA,OK
