topo,k,n,algo,traffic,inj_rate,seed,latency,accepted,hops,injected
mesh,4,2,dor,uniform,0.1,4,19.6611,0.100037,3.50427,0.10007
mesh,4,2,dor,uniform,0.2,0,20.3708,0.199991,3.49852,0.199992
mesh,4,2,dor,uniform,0.2,1,20.3745,0.200216,3.49879,0.200204
mesh,4,2,dor,uniform,0.2,2,20.3752,0.199995,3.49818,0.200068
mesh,4,2,dor,uniform,0.2,3,20.3784,0.200102,3.49957,0.200107
mesh,4,2,dor,uniform,0.2,4,20.3773,0.20015,3.49932,0.20015
mesh,4,2,romm,hotspot,0.01,0,19.8554,0.00997425,3.50206,0.00996425
mesh,4,2,romm,hotspot,0.01,1,19.8158,0.00999479,3.4959,0.00999754
mesh,4,2,romm,hotspot,0.01,2,19.8578,0.0100617,3.5056,0.0100587
mesh,4,2,romm,hotspot,0.01,3,19.8436,0.00998771,3.50277,0.00998995
mesh,4,2,romm,hotspot,0.01,4,19.8163,0.0100056,3.4971,0.0100041
mesh,4,2,romm,hotspot,0.02,0,21.3338,0.0199382,3.50011,0.0199289
mesh,4,2,romm,hotspot,0.02,1,21.3904,0.0200133,3.49936,0.0200134
mesh,4,2,romm,hotspot,0.02,2,21.373,0.0199866,3.50316,0.0199791
mesh,4,2,romm,hotspot,0.02,3,21.3837,0.0200627,3.49998,0.0200656
mesh,4,2,romm,hotspot,0.02,4,21.3673,0.0199971,3.4992,0.0200004
mesh,4,2,romm,hotspot,0.05,0,513.823,0,0,0.031
mesh,4,2,romm,hotspot,0.05,1,519.374,0,0,0.0309375
mesh,4,2,romm,hotspot,0.05,2,545.23,0,0,0.0311875
mesh,4,2,romm,hotspot,0.05,3,558.31,0,0,0.0314375
mesh,4,2,romm,hotspot,0.05,4,572.173,0,0,0.029875
mesh,4,2,romm,hotspot,0.1,0,1029.92,0,0,0.03075
mesh,4,2,romm,hotspot,0.1,1,428.317,0,0,0.0346562
mesh,4,2,romm,hotspot,0.1,2,414.624,0,0,0.0347187
mesh,4,2,romm,hotspot,0.1,3,420.438,0,0,0.0348125
mesh,4,2,romm,hotspot,0.1,4,400.169,0,0,0.0345
mesh,4,2,romm,hotspot,0.2,0,525.218,0,0,0.0349687
mesh,4,2,romm,hotspot,0.2,1,576.87,0,0,0.0349375
mesh,4,2,romm,hotspot,0.2,2,546.239,0,0,0.0348125
mesh,4,2,romm,hotspot,0.2,3,528.583,0,0,0.03475
mesh,4,2,romm,hotspot,0.2,4,563.958,0,0,0.0345625
mesh,4,2,romm,hotspot,0.3,0,672.522,0,0,0.0350312
mesh,4,2,romm,hotspot,0.3,1,698.808,0,0,0.0350625
mesh,4,2,romm,hotspot,0.3,2,737.738,0,0,0.0348437
