algo,traffic,inj_rate,seed,latency
dor,transpose,0.1,1,20.5211
dor,transpose,0.1,2,20.4768
dor,transpose,0.1,3,20.4449
dor,transpose,0.1,4,20.4822
dor,transpose,0.2,0,483.597
dor,transpose,0.2,1,517.36
dor,transpose,0.2,2,483.41
dor,transpose,0.2,3,495.787
dor,transpose,0.2,4,525.506
dor,transpose,0.3,0,561.062
dor,transpose,0.3,1,519.405
dor,transpose,0.3,2,555.002
dor,transpose,0.3,3,585.829
dor,transpose,0.3,4,624.311
dor,uniform,0.01,0,19.5084
dor,uniform,0.01,1,19.5158
dor,uniform,0.01,2,19.5169
dor,uniform,0.01,3,19.4829
dor,uniform,0.01,4,19.5343
dor,uniform,0.02,0,19.5298
dor,uniform,0.02,1,19.4917
dor,uniform,0.02,2,19.5118
dor,uniform,0.02,3,19.4874
dor,uniform,0.02,4,19.51
dor,uniform,0.05,0,19.5345
dor,uniform,0.05,1,19.544
dor,uniform,0.05,2,19.5587
dor,uniform,0.05,3,19.541
dor,uniform,0.05,4,19.535
dor,uniform,0.1,0,19.6383
dor,uniform,0.1,1,19.6366
dor,uniform,0.1,2,19.6418
dor,uniform,0.1,3,19.6336
dor,uniform,0.1,4,19.6611
dor,uniform,0.2,0,20.3708
dor,uniform,0.2,1,20.3745
dor,uniform,0.2,2,20.3752
dor,uniform,0.2,3,20.3784
dor,uniform,0.2,4,20.3773
gnn_ppo_route_4x4,hotspot,0.01,0,19.6617
gnn_ppo_route_4x4,hotspot,0.01,1,19.6253
gnn_ppo_route_4x4,hotspot,0.01,2,19.6947
gnn_ppo_route_4x4,hotspot,0.01,3,19.6692
gnn_ppo_route_4x4,hotspot,0.01,4,19.6443
gnn_ppo_route_4x4,hotspot,0.02,0,20.5864
gnn_ppo_route_4x4,hotspot,0.02,1,20.6868
gnn_ppo_route_4x4,hotspot,0.02,2,20.6338
gnn_ppo_route_4x4,hotspot,0.02,3,20.6516
gnn_ppo_route_4x4,hotspot,0.02,4,20.6404
gnn_ppo_route_4x4,hotspot,0.05,0,585.786
gnn_ppo_route_4x4,hotspot,0.05,1,595.678
gnn_ppo_route_4x4,hotspot,0.05,2,564.898
gnn_ppo_route_4x4,hotspot,0.05,3,599.96
gnn_ppo_route_4x4,hotspot,0.05,4,612.762
gnn_ppo_route_4x4,hotspot,0.1,0,456.715
gnn_ppo_route_4x4,hotspot,0.1,1,485.157
gnn_ppo_route_4x4,hotspot,0.1,2,458.92
gnn_ppo_route_4x4,hotspot,0.1,3,501.717
gnn_ppo_route_4x4,hotspot,0.1,4,464.388
gnn_ppo_route_4x4,hotspot,0.2,0,629.309
gnn_ppo_route_4x4,hotspot,0.2,1,661.616
gnn_ppo_route_4x4,hotspot,0.2,2,637.658
gnn_ppo_route_4x4,hotspot,0.2,3,657.528
gnn_ppo_route_4x4,hotspot,0.2,4,639.625
gnn_ppo_route_4x4,hotspot,0.3,0,747.082
gnn_ppo_route_4x4,hotspot,0.3,1,748.377
gnn_ppo_route_4x4,hotspot,0.3,2,767.607
gnn_ppo_route_4x4,hotspot,0.3,3,774.964
gnn_ppo_route_4x4,hotspot,0.3,4,765.432
gnn_ppo_route_4x4,transpose,0.01,0,19.5421
gnn_ppo_route_4x4,transpose,0.01,1,19.5335
gnn_ppo_route_4x4,transpose,0.01,2,19.5647
gnn_ppo_route_4x4,transpose,0.01,3,19.5225
gnn_ppo_route_4x4,transpose,0.01,4,19.5097
gnn_ppo_route_4x4,transpose,0.02,0,19.5296
gnn_ppo_route_4x4,transpose,0.02,1,19.5714
gnn_ppo_route_4x4,transpose,0.02,2,19.5121
gnn_ppo_route_4x4,transpose,0.02,3,19.5217
gnn_ppo_route_4x4,transpose,0.02,4,19.5123
gnn_ppo_route_4x4,transpose,0.05,0,19.6952
gnn_ppo_route_4x4,transpose,0.05,1,19.6603
