topology,algorithm,traffic,inj_rate,latency,energy,status
mesh88,adaptive_xy_yx,uniform,0.05,33.2998,NA,OK
mesh88,adaptive_xy_yx,uniform,0.1,34.7432,NA,OK
mesh88,adaptive_xy_yx,uniform,0.15,41.5732,NA,OK
mesh88,adaptive_xy_yx,uniform,0.2,94.6785,NA,OK
mesh88,adaptive_xy_yx,uniform,0.3,205.521,NA,OK
mesh88,adaptive_xy_yx,transpose,0.01,32.875,NA,OK
mesh88,adaptive_xy_yx,transpose,0.02,32.542,NA,OK
mesh88,adaptive_xy_yx,transpose,0.05,33.8404,NA,OK
mesh88,adaptive_xy_yx,transpose,0.1,40.5185,NA,OK
mesh88,adaptive_xy_yx,transpose,0.15,80.037,NA,OK
mesh88,adaptive_xy_yx,transpose,0.2,99.9601,NA,OK
mesh88,adaptive_xy_yx,transpose,0.3,138.723,NA,OK
mesh88,adaptive_xy_yx,hotspot,0.01,45.6874,NA,OK
mesh88,adaptive_xy_yx,hotspot,0.02,113.862,NA,OK
mesh88,adaptive_xy_yx,hotspot,0.05,185.035,NA,OK
mesh88,adaptive_xy_yx,hotspot,0.1,252.859,NA,OK
mesh88,adaptive_xy_yx,hotspot,0.15,285.86,NA,OK
mesh88,adaptive_xy_yx,hotspot,0.2,320.709,NA,OK
mesh88,adaptive_xy_yx,hotspot,0.3,387.296,NA,OK
mesh88,min_adapt,uniform,0.01,32.6656,NA,OK
mesh88,min_adapt,uniform,0.02,34.5236,NA,OK
mesh88,min_adapt,uniform,0.05,36.6173,NA,OK
mesh88,min_adapt,uniform,0.1,42.4227,NA,OK
mesh88,min_adapt,uniform,0.15,48.0375,NA,OK
mesh88,min_adapt,uniform,0.2,102.371,NA,OK
mesh88,min_adapt,uniform,0.3,173.036,NA,OK
mesh88,min_adapt,transpose,0.01,33.495,NA,OK
mesh88,min_adapt,transpose,0.02,33.4333,NA,OK
mesh88,min_adapt,transpose,0.05,36.5142,NA,OK
mesh88,min_adapt,transpose,0.1,56.2948,NA,OK
